lat,lng,elev,full_address,date,base_filename
39.222172,-108.768965,1394.87988281,"1546 O Rd, Loma, CO 81524, USA",Jul 2012,"data/lat_39.22217,long_-108.768_"
38.926326,-104.294913,1964.58422852,"6450 S Calhan Rd, Calhan, CO 80808, USA",Sep 2009,"data/lat_38.92632,long_-104.294_"
40.353351,-105.202842,1773.63562012,"3703-3799 Fawn Trail, Loveland, CO 80537, USA",Sep 2007,"data/lat_40.35335,long_-105.202_"
40.617291,-103.300631,1240.36035156,"12845 Tumbleweed Dr, Sterling, CO 80751, USA",Nov 2007,"data/lat_40.61729,long_-103.300_"
40.731325,-104.524278,1578.19262695,"50095-50999 Co Rd 57, Ault, CO 80610, USA",Oct 2007,"data/lat_40.73132,long_-104.524_"
37.193537,-107.752708,2031.70068359,"110 Wrangler Way, Durango, CO 81303, USA",Feb 2008,"data/lat_37.19353,long_-107.752_"
40.605056,-103.600531,1390.53503418,"41499 CO-71, Stoneham, CO 80754, USA",Aug 2012,"data/lat_40.60505,long_-103.600_"
39.456976,-104.875204,1952.44506836,"I-25, Castle Pines, CO 80108, USA",Aug 2015,"data/lat_39.45697,long_-104.875_"
39.06272,-104.700309,2289.46875,"15780-16498 Black Forest Rd, Colorado Springs, CO 80908, USA",Sep 2011,"data/lat_39.06272,long_-104.700_"
40.62361,-104.6016,1515.94274902,"Weld County Rd 49, Ault, CO 80610, USA",Oct 2007,"data/lat_40.62361,long_-104.601_"
37.418831,-109.065005,1661.41088867,"Unnamed Road, Montezuma Creek, UT 84534, USA",May 2009,"data/lat_37.41883,long_-109.065_"
39.779641,-104.527053,1674.11657715,"3920-4798 Adams County Rd 28, Watkins, CO 80137, USA",Sep 2015,"data/lat_39.77964,long_-104.527_"
37.475446,-108.439981,2150.58349609,"18738 CO-145, Dolores, CO 81323, USA",Dec 2007,"data/lat_37.47544,long_-108.439_"
38.876849,-107.602297,1730.32922363,"900-1068 CO-133, Paonia, CO 81428, USA",Sep 2012,"data/lat_38.87684,long_-107.602_"
38.781282,-104.699183,1844.64074707,"7540 Milton E. Proby Pkwy, Colorado Springs, CO 80916, USA",Aug 2011,"data/lat_38.78128,long_-104.699_"
38.986452,-104.773526,2083.15600586,"10828 Rhinestone Dr, Colorado Springs, CO 80908, USA",Sep 2011,"data/lat_38.98645,long_-104.773_"
40.618215,-104.601491,1508.9979248,"Weld County Rd 49, Ault, CO 80610, USA",Oct 2007,"data/lat_40.61821,long_-104.601_"
37.400402,-108.635595,1900.36120605,"22350-22664 Co Rd N, Cortez, CO 81321, USA",Jan 2008,"data/lat_37.40040,long_-108.635_"
