lat,lng,elev,city,county,state,full_address,date
39.585308,-105.05468,1662.489868164062,Columbine Knolls,Littleton,Jefferson County,"7221-7231 S Sheridan Ct, Littleton, CO 80128, USA",Oct 2011
40.123626,-104.962161,1505.558349609375,Longmont,Weld County,Colorado,"4894-4898 Wren Ct, Longmont, CO 80504, USA",Sep 2012
40.624541,-103.463646,1281.730834960938,Sterling,Logan County,Colorado,"6000-6408 CO-14, Sterling, CO 80751, USA",Jul 2015
40.624497,-103.468462,1299.530029296875,Logan County,Colorado,United States,"5313-5999 CO-14, Colorado, USA",Jul 2015
39.944596,-104.933377,1615.351806640625,Thornton,Adams County,Colorado,"13648 Cherry St, Thornton, CO 80602, USA",Aug 2012
40.679458,-102.884927,1303.900756835938,Fleming,Logan County,Colorado,"36470-36912 US-6, Fleming, CO 80728, USA",Jul 2008
39.605709,-105.037516,1636.486328125,Littleton,Arapahoe County,Colorado,"3 Village Ct, Littleton, CO 80123, USA",Sep 2012
39.592277,-105.042397,1641.180908203125,Columbine Valley,Arapahoe County,Colorado,"50-98 Arabian Pl, Columbine Valley, CO 80123, USA",Sep 2012
39.773445,-104.929079,1604.95703125,Northeast Park Hill,Denver,Denver County,"5051 E 41st Ave, Denver, CO 80216, USA",Aug 2014
39.386095,-104.699028,1981.347290039062,Franktown,Douglas County,Colorado,"1536-1616 Columbine Dr, Franktown, CO 80116, USA",Sep 2007
38.297873,-104.567584,1448.23388671875,Pueblo,Pueblo County,Colorado,"CO-47, Pueblo, CO 81001, USA",Jul 2012
40.396811,-105.168287,1575.72265625,Loveland,Larimer County,Colorado,"135-159 N Co Rd 23H, Loveland, CO 80537, USA",Jun 2012
39.583478,-104.417338,1777.837768554688,Bennett,Arapahoe County,Colorado,"7070 Kiowa-Bennett Rd, Bennett, CO 80102, USA",Aug 2012
39.173602,-108.137068,1694.25146484375,Mesa County,Colorado,United States,"Ke 1/2 Rd, Mesa, CO 81643, USA",Aug 2012
37.941988,-107.668775,2951.9580078125,Ouray County,Colorado,United States,"Million Dollar Hwy, Ridgway, CO 81432, USA",Oct 2008
37.198558,-107.681744,2098.887939453125,Ignacio,La Plata County,Colorado,"5643-5773 Co Rd 510, Ignacio, CO 81137, USA",Feb 2008
39.801472,-102.786688,1323.125,Yuma,Yuma County,Colorado,"1-1999 County Rd 16, Yuma, CO 80759, USA",Jun 2008
39.575642,-104.768645,1800.638671875,Centennial,Arapahoe County,Colorado,"18759-18899 E Long Ave, Centennial, CO 80016, USA",Jun 2012
39.45397,-107.145045,2210.180908203125,Carbondale,Garfield County,Colorado,"406 Panorama Dr, Carbondale, CO 81623, USA",Oct 2012
40.580496,-103.267463,1216.734375,Sterling,Logan County,Colorado,"15733-16999 Co Rd 22, Sterling, CO 80751, USA",Nov 2007
38.269489,-103.170661,1309.896118164062,Eads,Kiowa County,Colorado,"2-2998 Co Rd 19, Eads, CO 81036, USA",Aug 2012
38.15696,-103.748138,1299.1279296875,Ordway,Crowley County,Colorado,"2610 CO-71, Ordway, CO 81063, USA",Jul 2012
37.941803,-107.668875,2952.379638671875,Ouray County,Colorado,United States,"Million Dollar Hwy, Ridgway, CO 81432, USA",Oct 2008
40.396105,-105.182925,1651.13720703125,Loveland,Larimer County,Colorado,"7333 Leslie Dr, Loveland, CO 80537, USA",Sep 2007
39.767933,-105.179569,1688.40234375,Golden,Jefferson County,Colorado,"15719-16095 W 37th Dr, Golden, CO 80401, USA",Oct 2012
39.160207,-104.496396,2194.88818359375,Elbert,Elbert County,Colorado,"20001-20209 Co Rd 37, Elbert, CO 80106, USA",Aug 2015
40.589462,-104.850792,1543.333984375,Ault,Weld County,Colorado,"40501 Co Rd 23, Ault, CO 80610, USA",Sep 2007
38.020772,-105.026773,2662.57568359375,Beulah,Pueblo County,Colorado,"9121-9405 CO-78, Beulah, CO 81023, USA",Jun 2009
39.595172,-105.06977,1682.035278320312,Columbine Knolls,Littleton,Jefferson County,"6650 W Coal Mine Ave, Littleton, CO 80123, USA",Oct 2011
38.944363,-104.670954,2117.252685546875,Colorado Springs,El Paso County,Colorado,"7675-7735 Maverick Rd, Colorado Springs, CO 80908, USA",Sep 2014
39.988802,-104.887758,1566.139282226562,Brighton,Adams County,Colorado,"16073 Willow Way, Brighton, CO 80602, USA",Oct 2012
39.328801,-106.956579,2125.90380859375,Snowmass,Pitkin County,Colorado,"1341-1533 Lower River Rd, Snowmass, CO 81654, USA",Oct 2012
39.322762,-106.944145,2148.932373046875,Snowmass,Pitkin County,Colorado,"2270-2444 Lower River Rd, Snowmass, CO 81654, USA",Oct 2012
39.604601,-105.069727,1675.931396484375,Leawood,Littleton,Jefferson County,"6548-6598 W Fair Dr, Littleton, CO 80123, USA",Aug 2012
38.27685,-104.582291,1443.33349609375,East Side,Pueblo,Pueblo County,"1611 E 10th St, Pueblo, CO 81001, USA",Jun 2012
39.222172,-108.768965,1394.8798828125,Loma,Mesa County,Colorado,"1546 O Rd, Loma, CO 81524, USA",Jul 2012
38.926326,-104.294913,1964.584228515625,Calhan,El Paso County,Colorado,"6450 S Calhan Rd, Calhan, CO 80808, USA",Sep 2009
40.353351,-105.202842,1773.635620117188,Loveland,Larimer County,Colorado,"3703-3799 Fawn Trail, Loveland, CO 80537, USA",Sep 2007
40.617291,-103.300631,1240.3603515625,Sterling,Logan County,Colorado,"12845 Tumbleweed Dr, Sterling, CO 80751, USA",Nov 2007
40.731325,-104.524278,1578.192626953125,Ault,Weld County,Colorado,"50095-50999 Co Rd 57, Ault, CO 80610, USA",Oct 2007
37.193537,-107.752708,2031.70068359375,Durango,La Plata County,Colorado,"110 Wrangler Way, Durango, CO 81303, USA",Feb 2008
40.605056,-103.600531,1390.535034179688,Stoneham,Weld County,Colorado,"41499 CO-71, Stoneham, CO 80754, USA",Aug 2012
39.456976,-104.875204,1952.445068359375,Douglas County,Colorado,United States,"I-25, Castle Pines, CO 80108, USA",Aug 2015
39.06272,-104.700309,2289.46875,Colorado Springs,El Paso County,Colorado,"15780-16498 Black Forest Rd, Colorado Springs, CO 80908, USA",Sep 2011
40.62361,-104.6016,1515.942749023438,Weld County,Colorado,United States,"Weld County Rd 49, Ault, CO 80610, USA",Oct 2007
37.418831,-109.065005,1661.410888671875,San Juan County,Utah,United States,"Unnamed Road, Montezuma Creek, UT 84534, USA",May 2009
39.779641,-104.527053,1674.116577148438,Watkins,Adams County,Colorado,"3920-4798 Adams County Rd 28, Watkins, CO 80137, USA",Sep 2015
37.475446,-108.439981,2150.58349609375,Dolores,Montezuma County,Colorado,"18738 CO-145, Dolores, CO 81323, USA",Dec 2007
38.876849,-107.602297,1730.329223632812,Paonia,Delta County,Colorado,"900-1068 CO-133, Paonia, CO 81428, USA",Sep 2012
38.781282,-104.699183,1844.640747070312,Colorado Springs,El Paso County,Colorado,"7540 Milton E. Proby Pkwy, Colorado Springs, CO 80916, USA",Aug 2011
38.986452,-104.773526,2083.156005859375,Colorado Springs,El Paso County,Colorado,"10828 Rhinestone Dr, Colorado Springs, CO 80908, USA",Sep 2011
40.618215,-104.601491,1508.997924804688,Weld County,Colorado,United States,"Weld County Rd 49, Ault, CO 80610, USA",Oct 2007
37.400402,-108.635595,1900.361206054688,Cortez,Montezuma County,Colorado,"22350-22664 Co Rd N, Cortez, CO 81321, USA",Jan 2008
40.196796,-104.820347,1470.658081054688,Platteville,Weld County,Colorado,"13540 US-85, Platteville, CO 80651, USA",Oct 2012
39.049433,-108.066343,3192.728515625,Mesa County,Colorado,United States,"CO-65, Mesa, CO 81643, USA",Aug 2012
39.468079,-105.239899,2209.69921875,Pleasant Park Corridor,Littleton,Jefferson County,"13652-13798 S Foxton Rd, Littleton, CO 80127, USA",Jun 2015
39.696585,-105.220636,2028.159057617188,Jefferson County,Colorado,United States,"I-70, Golden, CO 80401, USA",Aug 2012
40.629939,-104.601513,1517.337768554688,Ault,Weld County,Colorado,"44033 Co Rd 49, Ault, CO 80610, USA",Oct 2007
39.299412,-104.916333,2078.47314453125,Castle Rock,Douglas County,Colorado,"4360-4452 Castle Butte Dr, Castle Rock, CO 80109, USA",Sep 2007
37.458605,-105.984863,2309.7236328125,Alamosa,Alamosa County,Colorado,"2625 Coop Rd, Alamosa, CO 81101, USA",Sep 2012
37.553201,-107.824406,2534.25732421875,Durango,La Plata County,Colorado,"44213 US-550, Durango, CO 81301, USA",Dec 2007
40.44187,-109.25729,1503.902954101562,Uintah County,Utah,United States,"Desert Voices Nature Trail, Jensen, UT 84035, USA",Sep 2008
39.468444,-104.887519,1969.708740234375,Castle Pines,Douglas County,Colorado,"6932-7054 Yorkshire Dr, Castle Pines, CO 80108, USA",Sep 2007
39.561117,-102.871209,1380.171264648438,Seibert,Kit Carson County,Colorado,"30000-30998 CO-59, Seibert, CO 80834, USA",Jun 2008
39.871466,-106.273702,2463.8056640625,Summit County,Colorado,United States,"CO-9, Silverthorne, CO 80498, USA",Jul 2008
39.485408,-106.088416,3330.362060546875,Summit County,Colorado,United States,"Unnamed Road, Breckenridge, CO 80424, USA",
39.578446,-104.765762,1798.63330078125,Centennial,Arapahoe County,Colorado,"19299 E Jamison Pl, Centennial, CO 80016, USA",Jun 2012
39.157056,-104.087825,1832.74462890625,Simla,Elbert County,Colorado,"19751-20113 Co Rd 125, Simla, CO 80835, USA",Oct 2009
40.537568,-104.988107,1487.803344726562,Fort Collins,Larimer County,Colorado,"4723-4809 County Rd 40, Fort Collins, CO 80525, USA",Jun 2012
38.648117,-102.78593,1295.5986328125,Cheyenne County,Colorado,United States,"US-287, Kit Carson, CO 80825, USA",Oct 2012
40.973263,-106.374821,2412.350830078125,Jackson County,Colorado,United States,"CO-125, Walden, CO 80480, USA",Sep 2007
40.343345,-103.96381,1323.124267578125,Morgan County,Colorado,United States,"CO-144, Weldona, CO 80653, USA",Jul 2015
39.843111,-104.990149,1630.365600585938,Denver,Adams County,Colorado,"287 W 81st Ave, Denver, CO 80221, USA",Sep 2012
